size: 9000, threads: 32, time: 0.0127473, tot = 3249839039962754, min = 0, max = 80999998 
size: 10000, threads: 1, time: 0.0871203, tot = 4942020832412857, min = 0, max = 99999998 
size: 10000, threads: 2, time: 0.0453295, tot = 4942295883556764, min = 1, max = 99999998 
size: 10000, threads: 4, time: 0.0243033, tot = 4941187033278527, min = 0, max = 99999999 
size: 10000, threads: 8, time: 0.0169827, tot = 4941837839223880, min = 3, max = 99999999 
size: 10000, threads: 16, time: 0.0173613, tot = 4942159641415880, min = 0, max = 99999999 
size: 10000, threads: 32, time: 0.0138814, tot = 4941265819048130, min = 2, max = 99999998 
size: 1000, threads: 1, time: 0.00102125, tot = 500217305158, min = 1, max = 999999 
size: 1000, threads: 2, time: 0.00113635, tot = 500271641260, min = 1, max = 999997 
size: 1000, threads: 4, time: 0.000622832, tot = 499964766705, min = 0, max = 999999 
size: 1000, threads: 8, time: 0.000587312, tot = 500158319894, min = 2, max = 999996 
size: 1000, threads: 16, time: 0.00115576, tot = 499560998857, min = 0, max = 999999 
size: 1000, threads: 32, time: 0.00221443, tot = 499644320850, min = 2, max = 999998 
size: 2000, threads: 1, time: 0.0037176, tot = 8000822229089, min = 3, max = 3999996 
size: 2000, threads: 2, time: 0.00272276, tot = 7999061635184, min = 0, max = 3999999 
size: 2000, threads: 4, time: 0.00126699, tot = 7993212659686, min = 0, max = 3999999 
size: 2000, threads: 8, time: 0.00121152, tot = 8001335331517, min = 0, max = 3999999 
size: 2000, threads: 16, time: 0.00149726, tot = 7997533067673, min = 2, max = 3999999 
size: 2000, threads: 32, time: 0.00224158, tot = 7999098419606, min = 0, max = 3999999 
size: 3000, threads: 1, time: 0.00818283, tot = 40468590996111, min = 3, max = 8999999 
size: 3000, threads: 2, time: 0.00470207, tot = 40469216325656, min = 0, max = 8999997 
size: 3000, threads: 4, time: 0.00358692, tot = 40460952366529, min = 1, max = 8999998 
size: 3000, threads: 8, time: 0.00188548, tot = 40461358852440, min = 2, max = 8999998 
